Número,0,,Archivo,Numero,Hora,Region,Region XY,Z,dZ,Zoom,Campo,Tamano imagen,Kalman,Potencia,Tipo,Comentario 
Nombre,A22,,00-cuadrada_transpre.oif,0,4:10,1,(300;200),0,,3,70.71,1024,0,0.005,trans pre,
Microscopio ,FV1000,,01-cuadrada_pre.oif,1,4:11,1,(300;200),(2.1;4.8),0.3,3,70.71,1024,2,0.2,pre,
Fecha de medicion,2023/06/23,,02-2largas_transpre.oif,2,4:22,2,(300;400),0.6,,2,106.066,1024,0,0.005,trans pre,
Hora de inicio,15:20,,03-2largas_pre.oif,3,4:23,2,(300;400),(1.8;4.5),0.3,2,106.066,1024,2,0.2,pre,
Hora de tripsina ,17:00,,05-hermanas_transpre.oif,5,4:30,3,(1400;1000),-2.1,,2.5,84.852,1024,0,0.005,trans pre,
Fecha de sembrado,2023/06/21,,06-hermanas_pre.oif,6,4:32,3,(1400;1000),(3.9;6.6),0.3,2.5,84.852,1024,2,0.2,pre,
Hora de sembrado,17:00,,07-estrellas_transpre.oif,7,4:44,4,(-30;-400),0,,2,106.066,1024,0,0.005,trans pre,
Celulas sembradas,MCF10,,08-estrellas_pre.oif,8,4:46,4,(-30;-400),(2.1;4.8),0.3,2,106.066,1024,2,0.2,pre,
Cantidad sembrada ,6.80E+04,,09-triangulo_transpre.oif,9,4:54,5,(80;-400),0,,3,70.71,1024,0,0.005,trans pre,areas de alta concentración en las esferas a bajas profundidades
Clase de gel,B,,10-triangulo_pre.oif,10,4:55,5,(80;-400),(2.1;4.8),0.3,3,70.71,1024,2,0.2,pre,
Nanoesferas ,Crimson ,,11-cuadrada_post.oif,11,5:36,1,(300;200),(2.1;4.8),0.3,3,70.71,1024,2,0..2,post,
Concentración ,0.02,,12-cuadrada_transpost.oif,12,5:39,1,(300;200),0,,3,70.71,1024,0,0.005,trans post,
Objetivo,60X 1.35,,13-2largas_post.oif,13,5:42,2,(300;400),(1.8;4.5),0.3,2,106.066,1024,2,0.2,post,
Laser,635,,14-2largas_transpost.oif,14,5:44,2,(300;400),0.6,,2,106.066,1024,0,0.005,trans post,
Dicroico principal,405/488/543/635,,15-hermanas_post.oif,15,5:52,3,(1400;1000),(3.9;6.6),0.3,2.5,84.852,1024,2,0.2,post,
Dicroico Ch1,Vidrio,,16-hermanas_transpost.oif,16,5:55,3,(1400;1000),-2.1,,2.5,84.852,1024,0,0.005,trans post,
Dicroico Ch2,Espejo,,17-estrellas_post.oif,17,6:00,4,(-30;-400),(2.1;4.8),0.3,2,106.066,1024,2,0.2,post,
Pinhole,105,,18-estrellas_transpost.oif,18,6:02,4,(-30;-400),0,,2,106.066,1024,0,0.005,trans post,
Ch1,None,,19-triangulo_post.oif,19,6:02,5,(80;-400),(2.1;4.8),0.3,3,70.71,1024,2,0.2,post,
Ch2,(645;705),,20-triangulo_transpost.oif,20,6:05,5,(80;-400),0,,3,70.71,1024,0,0.005,trans post,
Tiempo por pixel,10,,,,,,,,,,,,,,,
Resolución XY,219,,,,,,,,,,,,,,,
Resolución Z,750,,,,,,,,,,,,,,,
HV Fluorescencia,700,,,,,,,,,,,,,,,
HV Transmicion,275-160,,,,,,,,,,,,,,,
Mediciones,20,,,,,,,,,,,,,,,
Pre-Post,5,,,,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,,,,